""_id","_labels","Duplex","comuna","desc_conexion","es_modular","estado_puerto","fabricante","host_puerto_id","hostname","ip_gestion","link_id","modelo","modo","num_puertos_conect","num_puertos_totales","owner_switch","puerto_id","region","remote_hostname","role","serial_number","tipo","tipo_puerto","ubicacion","velocidad","vlan","_start","_end","_type"
"0",":Equipo","","Colina","","si","","CISCO","","CH-SW-01-LRY","172.23.237.132","","N3K-C3048TP-1GE","","31.0","53.0","","","Metropolitana","","PE","FOC2334R09Q","Switch","","Liray","","",,,
"1",":Equipo","","Colina","","si","","CISCO","","CH-SW-02-LRY","172.23.237.133","","N3K-C3048TP-1GE","","31.0","53.0","","","Metropolitana","","PE","FOC2334R04W","Switch","","Liray","","",,,
"2",":Equipo","","","","","","","","OCC4","","","","","","","","","","","","","","","","","",,,
"3",":Equipo","","Colina","","si","","HP","","SDPDOR7A","172.23.114.13","","ProLiant DL360p Gen9","","","","","","Metropolitana","","PE","CZ36145NKK","Servidor","","Liray","","",,,
"4",":Equipo","","Colina","","si","","HP","","SDPDOR7B","172.23.114.14","","ProLiant DL360p Gen9","","","","","","Metropolitana","","PE","CZ36145NKL","Servidor","","Liray","","",,,
"5",":Equipo","","Colina","","si","","HP","","AIRDOR9","172.23.114.23",""," ProLiant DL360p Gen8","","","","","","Metropolitana","","PE","CZ3335MD96","Servidor","","Liray","","",,,
"6",":Equipo","","Colina","","si","","HP","","OCCDOR1","172.23.114.5","","ProLiant DL360 Gen9","","","","","","Metropolitana","","PE","MXQ62600DN","Servidor","","Liray","","",,,
"7",":Equipo","","Colina","","si","","HP","","AIRDOR11","172.23.114.24","","ProLiant DL360 Gen9","","","","","","Metropolitana","","PE","CZ36145TLT","Servidor","","Liray","","",,,
"8",":Equipo","","","","","","","","LB_B","","","","","","","","","","","","","","","","","",,,
"9",":Equipo","","","","","","","","LB_A","","","","","","","","","","","","","","","","","",,,
"10",":Equipo","","Colina","","si","","HP","","AIRDOR12","172.23.114.25","","ProLiant DL360 Gen9","","","","","","Metropolitana","","PE","CZ36145TLS","Servidor","","Liray","","",,,
"11",":Equipo","","Colina","","si","","HP","","AIRDOR13","172.23.114.26","","ProLiant DL360 Gen9","","","","","","Metropolitana","","PE","CZ36145TLR","Servidor","","Liray","","",,,
"12",":Equipo","","","","","","","","CHSW02DOR","","","","","","","","","","","","","","","","","",,,
"13",":Equipo","","","","","","","","CCN7","","","","","","","","","","","","","","","","","",,,
"14",":Equipo","","","","","","","","CCN6","","","","","","","","","","","","","","","","","",,,
"15",":Equipo","","","","","","","","Monitor Server eno5","","","","","","","","","","","","","","","","","",,,
"16",":Equipo","","","","","","","","SCLLIR-MPE2","","","","","","","","","","","","","","","","","",,,
"17",":Puerto","","","Conexion back2back CH-SW-02-LRY","","activo","","CH-SW-01-LRY_port-channel1","CH-SW-02-LRY","","LNK:CH-SW-01-LRY:port-channel1__CH-SW-02-LRY:port-channel1","","trunk","","","CH-SW-01-LRY","port-channel1","","CH-SW-02-LRY","","","","interface lógica","","","506,651,655-658,662",,,
"18",":Puerto","","","","","activo","","CH-SW-01-LRY_Ethernet1/1","","","","","trunk","","","CH-SW-01-LRY","Ethernet1/1","","","","","","físico","","","503",,,
"19",":Puerto","","","","","activo","","CH-SW-01-LRY_Ethernet1/2","","","","","","","","CH-SW-01-LRY","Ethernet1/2","","","","","","físico","","","",,,
"20",":Puerto","full","","OCC4 eno5","","activo","","CH-SW-01-LRY_Ethernet1/3","OCC4","","LNK:CH-SW-01-LRY:Ethernet1/3__OCC4","","access","","","CH-SW-01-LRY","Ethernet1/3","","OCC4","","","","físico","","1000.0","655",,,
"21",":Puerto","full","","OCC4 eno6","","activo","","CH-SW-01-LRY_Ethernet1/4","OCC4","","LNK:CH-SW-01-LRY:Ethernet1/4__OCC4","","access","","","CH-SW-01-LRY","Ethernet1/4","","OCC4","","","","físico","","1000.0","662",,,
"22",":Puerto","full","","OCC4 eno7","","activo","","CH-SW-01-LRY_Ethernet1/5","OCC4","","LNK:CH-SW-01-LRY:Ethernet1/5__OCC4","","access","","","CH-SW-01-LRY","Ethernet1/5","","OCC4","","","","físico","","1000.0","661",,,
"23",":Puerto","","","","","activo","","CH-SW-01-LRY_Ethernet1/6","","","","","","","","CH-SW-01-LRY","Ethernet1/6","","","","","","físico","","","",,,
"24",":Puerto","full","","Conexion a SDPDOR7A / Payload","","activo","","CH-SW-01-LRY_Ethernet1/7","SDPDOR7A","","LNK:CH-SW-01-LRY:Ethernet1/7__SDPDOR7A","","access","","","CH-SW-01-LRY","Ethernet1/7","","SDPDOR7A","","","","físico","","100.0","655",,,
"25",":Puerto","","","","","activo","","CH-SW-01-LRY_Ethernet1/8","","","","","","","","CH-SW-01-LRY","Ethernet1/8","","","","","","físico","","","",,,
"26",":Puerto","","","","","activo","","CH-SW-01-LRY_Ethernet1/9","","","","","","","","CH-SW-01-LRY","Ethernet1/9","","","","","","físico","","","",,,
"27",":Puerto","full","","SDPDOR7B-eno52","","activo","","CH-SW-01-LRY_Ethernet1/10","SDPDOR7B","","LNK:CH-SW-01-LRY:Ethernet1/10__SDPDOR7B","","access","","","CH-SW-01-LRY","Ethernet1/10","","SDPDOR7B","","","","físico","","","658",,,
"28",":Puerto","","","","","activo","","CH-SW-01-LRY_Ethernet1/11","","","","","","","","CH-SW-01-LRY","Ethernet1/11","","","","","","físico","","","",,,
"29",":Puerto","","","","","activo","","CH-SW-01-LRY_Ethernet1/12","","","","","","","","CH-SW-01-LRY","Ethernet1/12","","","","","","físico","","","",,,
"30",":Puerto","","","","","activo","","CH-SW-01-LRY_Ethernet1/13","","","","","","","","CH-SW-01-LRY","Ethernet1/13","","","","","","físico","","","",,,
