hostname,serial_number,tipo,fabricante,modelo,es_modular,role,region,comuna,ubicacion,rack,ip_gestion,ip_aliases,os_version,app_version,protocolo_gestion_cli,protocolo_gestion_gui,protocolo_metricas,comunidad_snmp,aaa,ntp_server,syslog_remoto,gestion_configuraciones,gestion_backups,fecha_instalacion,fecha_ultimo_parche,soporte_fabricante,contrato_soporte_id,contrato_mantenimiento,estado_operativo,criticidad,responsable,area_goc,solucion,servicio,dependencias,numero_puertos,archivo,hoja,version,notas
BBI-FNR,2102350AFWP0G4000104,router,huawei,NE40E-X8A,True,BBI,RM,Santiago,Santiago,,172.31.178.236,,V800R011C10SPC100,,,,snmp,,,172.31.128.8,200.27.26.5,True,True,,,,,,,,,,Red ISP,Red ISP,,,template_inventario_v3.xlsx,ISP,1.0,
BBI-SLT,2102350AFWP0G4000118,router,huawei,NE40E-X8A,True,BBI,RM,Huechuraba,Santiago,,172.31.178.244,,V800R011C10SPC100,,,,snmp,,,172.31.128.8,200.27.26.5,True,True,,,,,,,,,,Red ISP,Red ISP,,,template_inventario_v3.xlsx,ISP,1.0,
PIT-SRO3,2102350AFWP0JA000375,router,huawei,NE40E-X8A,True,PIT,RM,Santiago,Santiago,,172.31.181.132,,V800R011C10SPC100,,,,snmp,,,172.31.128.8,200.27.26.5,True,True,,,,,,,,,,Red ISP,Red ISP,,,template_inventario_v3.xlsx,ISP,1.0,
PIT-FNR3,2102350AFWP0JA000366,router,huawei,NE40E-X8A,True,PIT,RM,Santiago,Santiago,,172.31.181.124,,V800R011C10SPC100,,,,snmp,,,172.31.128.8,200.27.26.5,True,True,,,,,,,,,,Red ISP,Red ISP,,,template_inventario_v3.xlsx,ISP,1.0,
SRO-IGR-R,TBM11462301,router,cisco,12410/PRP,True,IGR,RM,Santiago,Santiago,,200.27.254.25,,12.0(32)SY16 - c12kprp-k4p-mz.120-32.SY16.bin,,,,snmp,,,200.27.15.5,200.27.26.5/200.27.26.16,True,True,,,,,,,,,,Red ISP,Red ISP,,,template_inventario_v3.xlsx,ISP,1.0,
FNR-IGR-R,TBM11462300,router,cisco,12410/PRP,True,IGR,RM,Santiago,Santiago,,200.27.254.7,,12.0(32)SY16 - c12kprp-k4p-mz.120-32.SY16.bin,,,,snmp,,,200.27.15.5,200.27.26.5/200.27.26.16,True,True,,,,,,,,,,Red ISP,Red ISP,,,template_inventario_v3.xlsx,ISP,1.0,
SRO-ICR-1,FOX092307N2,router,cisco,CISCO7609,True,ICR,RM,Santiago,Santiago,,200.27.254.1,,12.2(33)SRE3 - c7600rsp72043_rp-ADVENTERPRISEK9-M,,,,snmp,,,200.27.15.5,200.27.26.5/200.27.26.16,True,True,,,,,,,,,,Red ISP,Red ISP,,,template_inventario_v3.xlsx,ISP,1.0,
SRO-ICR-2,FOX091406L9,router,cisco,CISCO7610,True,ICR,RM,Santiago,Santiago,,200.27.254.2,,12.2(33)SRE3 - c7600rsp72043_rp-ADVENTERPRISEK9-M,,,,snmp,,,200.27.15.5,200.27.26.5/200.27.26.16,True,True,,,,,,,,,,Red ISP,Red ISP,,,template_inventario_v3.xlsx,ISP,1.0,
FNR-ICR-1,FOX11410EUR,router,cisco,CISCO7609-S,True,ICR,RM,Santiago,Santiago,,200.27.254.5,,12.2(33)SRE3 - c7600rsp72043_rp-ADVENTERPRISEK9-M,,,,snmp,,,200.27.15.5,200.27.26.5/200.27.26.16,True,True,,,,,,,,,,Red ISP,Red ISP,,,template_inventario_v3.xlsx,ISP,1.0,
FNR-ICR-2,FOX11400L70,router,cisco,CISCO7609-S,True,ICR,RM,Santiago,Santiago,,200.27.254.6,,12.2(33)SRE3 - c7600rsp72043_rp-ADVENTERPRISEK9-M,,,,snmp,,,200.27.15.5,200.27.26.5/200.27.26.16,True,True,,,,,,,,,,Red ISP,Red ISP,,,template_inventario_v3.xlsx,ISP,1.0,
SRO-GSR01-ACCESS,63918498,router,cisco,12012/GRP,True,GSR,RM,Santiago,Santiago,,200.27.254.12,,12.0(32)S6 - gsr-p-mz.120-32.S6.bin,,,,snmp,,,200.27.15.5,200.27.26.5/200.27.26.16,True,True,,,,,,,,,,Red ISP,Red ISP,,,template_inventario_v3.xlsx,ISP,1.0,
SRO-GSR02-ACCESS,63918473,router,cisco,12012/GRP,True,GSR,RM,Santiago,Santiago,,200.27.254.4,,12.0(32)S6 - gsr-p-mz.120-32.S6.bin,,,,snmp,,,200.27.15.5,200.27.26.5/200.27.26.16,True,True,,,,,,,,,,Red ISP,Red ISP,,,template_inventario_v3.xlsx,ISP,1.0,
GSR03-ACCESS,TBM12511885,router,cisco,12406/PRP,True,GSR,RM,Santiago,Santiago,,200.27.254.22,,12.0(32)SY16 - c12kprp-k4p-mz.120-32.SY16.bin,,,,snmp,,,200.27.15.5,200.27.26.5/200.27.26.16,True,True,,,,,,,,,,Red ISP,Red ISP,,,template_inventario_v3.xlsx,ISP,1.0,
IGR-ISP-CRT1,SAD1534004S,router,cisco,CRS-8/S,True,IGR,RM,Quilicura,Santiago,,192168207231,,hfr-os-mbi-5.2.2.CSCux00209-1.0.0/0x100008/mbihfr-rp-x86e.vm,,,,snmp,,,,200.27.26.5/200.27.26.16,True,True,,,,,,,,,,Red ISP,ISP MOVIL,,,template_inventario_v3.xlsx,ISP,1.0,
IGR-ISP-SLT1,SAD154802GN,router,cisco,CRS-8/S,True,IGR,RM,Huechuraba,Santiago,,192168205231,,hfr-os-mbi-5.2.2.CSCux00209-1.0.0/0x100008/mbihfr-rp-x86e.vm,,,,snmp,,,,200.27.26.5/200.27.26.16,True,True,,,,,,,,,,Red ISP,ISP MOVIL,,,template_inventario_v3.xlsx,ISP,1.0,
EDGE-ISP-CRT1,FOC154381AZ,router,cisco,ASR9K,True,IGR,RM,Quilicura,Santiago,,192.168.207.229,,asr9k-os-mbi-4.1.2.CSCty67156-1.0.0/mbiasr9k-rp.vm,,,,snmp,,,,200.27.26.5/200.27.26.16,True,True,,,,,,,,,,Red ISP,ISP MOVIL,,,template_inventario_v3.xlsx,ISP,1.0,
EDGE-ISP-CRT2,FOC1526853V,router,cisco,ASR-9010-DC-V2,True,IGR,RM,Quilicura,Santiago,,192.168.207.230,,asr9k-os-mbi-4.1.2.CSCty67156-1.0.0/mbiasr9k-rp.vm,,,,snmp,,,,200.27.26.5/200.27.26.16,True,True,,,,,,,,,,Red ISP,ISP MOVIL,,,template_inventario_v3.xlsx,ISP,1.0,
EDGE-ISP-SLT1,FOC2039N12P,router,cisco,ASR-9010-DC-V2,True,IGR,RM,Huechuraba,Santiago,,192.168.205.229,,asr9k-os-mbi-4.3.4.sp2-1.0.0/0x100305/mbiasr9k-rsp3.vm,,,,snmp,,,,200.27.26.5/200.27.26.16,True,True,,,,,,,,,,Red ISP,ISP MOVIL,,,template_inventario_v3.xlsx,ISP,1.0,
EDGE-ISP-SLT2,FOC2041NXMA,router,cisco,ASR-9010-DC-V2,True,IGR,RM,Huechuraba,Santiago,,192.168.205.230,,asr9k-os-mbi-4.3.4.sp2-1.0.0/0x100305/mbiasr9k-rsp3.vm,,,,snmp,,,,200.27.26.5/200.27.26.16,True,True,,,,,,,,,,Red ISP,ISP MOVIL,,,template_inventario_v3.xlsx,ISP,1.0,
IDC-ISP-SLT1,FOX1229GKRF,router,cisco,CISCO7609-S,True,CONEXION A DNS,RM,Huechuraba,Santiago,,172.16.24.16,,15.3(3)S5 - c7600s72033-advipservicesk9-mz.153-3.S5.bin,,,,snmp,,,,200.27.26.5/200.27.26.16,True,True,,,,,,,,,,Red ISP,ISP MOVIL,,,template_inventario_v3.xlsx,ISP,1.0,
