host_puerto_id;hostname;puerto_id;desc_conexion;tipo_puerto;velocidad;estado_puerto;vlan;modo;mac_conectada;Duplex;remote_hostname;link_id;owner_switch
CH-SW-01-LRY_port-channel1;CH-SW-02-LRY;port-channel1;Conexion back2back CH-SW-02-LRY;interface lógica;;activo;506,651,655-658,662;trunk;;;CH-SW-02-LRY;LNK:CH-SW-01-LRY:port-channel1__CH-SW-02-LRY:port-channel1;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/1;;Ethernet1/1;;físico;;activo;503;trunk;;;;;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/2;;Ethernet1/2;;físico;;activo;;;;;;;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/3;OCC4;Ethernet1/3;OCC4 eno5;físico;1000.0;activo;655;access;;full;OCC4;LNK:CH-SW-01-LRY:Ethernet1/3__OCC4;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/4;OCC4;Ethernet1/4;OCC4 eno6;físico;1000.0;activo;662;access;;full;OCC4;LNK:CH-SW-01-LRY:Ethernet1/4__OCC4;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/5;OCC4;Ethernet1/5;OCC4 eno7;físico;1000.0;activo;661;access;;full;OCC4;LNK:CH-SW-01-LRY:Ethernet1/5__OCC4;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/6;;Ethernet1/6;;físico;;activo;;;;;;;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/7;SDPDOR7A;Ethernet1/7;Conexion a SDPDOR7A / Payload;físico;100.0;activo;655;access;;full;SDPDOR7A;LNK:CH-SW-01-LRY:Ethernet1/7__SDPDOR7A;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/8;;Ethernet1/8;;físico;;activo;;;;;;;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/9;;Ethernet1/9;;físico;;activo;;;;;;;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/10;SDPDOR7B;Ethernet1/10;SDPDOR7B-eno52;físico;;activo;658;access;;full;SDPDOR7B;LNK:CH-SW-01-LRY:Ethernet1/10__SDPDOR7B;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/11;;Ethernet1/11;;físico;;activo;;;;;;;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/12;;Ethernet1/12;;físico;;activo;;;;;;;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/13;;Ethernet1/13;;físico;;activo;;;;;;;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/14;;Ethernet1/14;;físico;;activo;;;;;;;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/15;;Ethernet1/15;;físico;;activo;;;;;;;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/16;AIRDOR9;Ethernet1/16;Conexion a AIRDOR9 / Payload;físico;;activo;655;access;;;AIRDOR9;LNK:AIRDOR9__CH-SW-01-LRY:Ethernet1/16;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/17;OCCDOR1;Ethernet1/17;Conexion a OCCDOR1 / Payload;físico;1000.0;activo;655;access;;full;OCCDOR1;LNK:CH-SW-01-LRY:Ethernet1/17__OCCDOR1;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/18;AIRDOR11;Ethernet1/18;Conexion a AIRDOR11 / Payload;físico;100.0;activo;655;access;;full;AIRDOR11;LNK:AIRDOR11__CH-SW-01-LRY:Ethernet1/18;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/19;LB_B;Ethernet1/19;Conexion a LB_B / Payload FE;físico;100.0;activo;656;access;;full;LB_B;LNK:CH-SW-01-LRY:Ethernet1/19__LB-B;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/20;LB_B;Ethernet1/20;Conexion a LB_B / Payload BE;físico;100.0;activo;655;access;;full;LB_B;LNK:CH-SW-01-LRY:Ethernet1/20__LB-B;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/21;LB_A;Ethernet1/21;Conexion a LB_A / O&M / MGMT;físico;100.0;activo;651;access;;full;LB_A;LNK:CH-SW-01-LRY:Ethernet1/21__LB-A;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/22;AIRDOR12;Ethernet1/22;AIRDOR12 / O&M;físico;1000.0;activo;651;access;;full;AIRDOR12;LNK:AIRDOR12__CH-SW-01-LRY:Ethernet1/22;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/23;AIRDOR12;Ethernet1/23;Conexion a AIRDOR12 / Payload;físico;1000.0;activo;655;access;;full;AIRDOR12;LNK:AIRDOR12__CH-SW-01-LRY:Ethernet1/23;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/24;AIRDOR12;Ethernet1/24;Conexion a AIRDOR12 / Sigtran2;físico;100.0;activo;653;access;;full;AIRDOR12;LNK:AIRDOR12__CH-SW-01-LRY:Ethernet1/24;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/25;AIRDOR13;Ethernet1/25;Conexion a AIRDOR13 / O&M;físico;100.0;activo;651;access;;full;AIRDOR13;LNK:AIRDOR13__CH-SW-01-LRY:Ethernet1/25;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/26;AIRDOR13;Ethernet1/26;Conexion a AIRDOR13 / Payload;físico;1000.0;activo;655;access;;full;AIRDOR13;LNK:AIRDOR13__CH-SW-01-LRY:Ethernet1/26;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/27;;Ethernet1/27;;físico;;activo;;;;;;;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/28;OCCDOR1;Ethernet1/28;Conexion Diameter a ETH5-OCCDOR1;físico;;activo;657;access;;;OCCDOR1;LNK:CH-SW-01-LRY:Ethernet1/28__OCCDOR1;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/29;OCCDOR1;Ethernet1/29;Conexion Diameter a ETH6-OCCDOR1;físico;1000.0;activo;653;access;;full;OCCDOR1;LNK:CH-SW-01-LRY:Ethernet1/29__OCCDOR1;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/30;;Ethernet1/30;;físico;;inactivo;;;;;;;CH-SW-01-LRY
CH-SW-01-LRY_Ethernet1/31;;Ethernet1/31;;físico;;inactivo;;;;;;;CH-SW-01-LRY
